Video Date,Session Number,Grasped?,Notes,Object
2024/09/05 16:16 (GMT+1),23,✅✅ - Grasped and Carried Away,"The first ant to encounter the seed spends the full duration sensing and manipulating the seed, turning the seed around multiple times before grasping it and dragging then lifting the seed away.",Nyjer
2024/09/05 16:16 (GMT+1),24,❌ - No Contact With Object,"Single ant walks through the scene, no sensing or grasping.",Nyjer
2024/09/05 16:16 (GMT+1),26,✅✅ - Grasped and Carried Away,"First ant senses the object using its antennae then walks over the seed as it leaves. The second ant senses the object with the mandibles as well as antennae and forelimbs and makes some grasp attempts, lifting the seed off the ground then lowering the seed again without walking. At 0:33 a larger ant begins interacting with the seed and attempts to grasp it at the same time as the second ant. The larger ant manipulates the seed using its forelegs and grasps the object using the mandibles and lifts the seed off the ground. This larger ant spends a few frames cleaning itself before carrying the seed away.",Nyjer
2024/09/05 16:16 (GMT+1),27,☑️ - Manipulated or Pinched - No Grasp,"First ant approaches the seed with mandibles wide open then relaxes as it gets nearer to the seed. This ant uses its forelegs to pull the seed towards the body as the mandibles pinch along the edge of the seed, while the antennae also tap and drag along the seed. The ant also uses its mid-legs to hold or manipulate the seed. It cleans its antennae while standing over the seed then walks away. Multiple other ants enter the frame during the video but no others interact with the seed.",Nyjer
2024/09/05 16:16 (GMT+1),28,✅✅ - Grasped and Carried Away,"Multiple ants in scene, the first ant to interact with the seed senses around the seed and cleans its antenna. The second ant comes to sense the seed as if to grasp then the first ant picks up the object, interacts with other ants and cleans its antenna then walks away.",Nyjer
2024/09/05 16:16 (GMT+1),29,✅✅ - Grasped and Carried Away,"Multiple ants in scene, smaller ant senses object using its antennae and manipulates object with its fore and mid-legs before picking it up and walking off. Interacts with a larger ant on the way out of frame.",Nyjer
2024/09/05 16:16 (GMT+1),30,✅✅ - Grasped and Carried Away,Single large ant senses the object and manipulates it using the forelegs and the mandibles before carrying away. Another ant walks through the scene.,Nyjer
2024/09/05 16:16 (GMT+1),31,✅✅ - Grasped and Carried Away,Multiple ants in the scene. Multiple ants sense the seed and the second ant rolls the seed away (taking it forcefully from the first ant),Mustard Seed
2024/09/05 16:16 (GMT+1),32,✅✅ - Grasped and Carried Away,"Multiple ants interacting with seed, but first ant rolls the seed away.",Mustard Seed
2024/09/05 16:16 (GMT+1),33,✅✅ - Grasped and Carried Away,First ant quickly senses the seed and rolls it out of the scene. A second ant rolls another existing seed through the scene. Video is longer than necessary.,Mustard Seed
2024/09/05 16:16 (GMT+1),34,✅✅ - Grasped and Carried Away,"Large ant senses round scene for an extended period, and another two ants senses the object while this is happening. The larger ant slowly rolls the seed backwards, but generally rotates the seed with the forelimbs for nearly 2 minutes. The ant continues to manipulate the seed outside of frame then returns to the frame and more smaller ants come and sense the seed. The seed is eventually rolled away.",Mustard Seed
2024/09/05 16:16 (GMT+1),35,✅✅ - Grasped and Carried Away,Small ant senses the seed then rolls it away. Another ant passes through the scene.,Mustard Seed
2024/09/05 16:16 (GMT+1),36,✅✅ - Grasped and Carried Away,Small ant senses the seed then rolls it away. Rolls it through the scene for a small duration. ,Mustard Seed
2024/09/05 16:16 (GMT+1),37,✅✅ - Grasped and Carried Away,Small ant senses the seed then rolls it away. Other ants pass through the scene.,Mustard Seed
2024/09/05 16:16 (GMT+1),38,✅✅ - Grasped and Carried Away,Small ant senses the seed then rolls it away. Rotates and manipulates the seed for a while and attempts to grasp the object but generally does not succeed. Drags the object out of the scene.,Mustard Seed
2024/09/05 16:16 (GMT+1),39,❌ - Sensed - Not Manipulated,Ant senses the seed briefly but does not grasp it or drag it away.,Mustard Seed
2024/09/05 16:16 (GMT+1),41,❌ - Sensed - Not Manipulated,Ant senses the seed briefly but does not grasp it or drag it away.,Mustard Seed
2024/09/05 16:16 (GMT+1),42,✅✅ - Grasped and Carried Away,Ant senses the seed and rolls it away.,Mustard Seed
2024/09/05 16:16 (GMT+1),43,❌ - No Contact With Object,Ant barely touches the seed and walks away.,Mustard Seed
2024/09/05 16:16 (GMT+1),47,❌ - Sensed - Not Manipulated,Ant senses seed and another walks directly over the seed. Multiple ants sense the seed but none take the seed.,Mustard Seed
2024/09/05 16:16 (GMT+1),48,✅✅ - Grasped and Carried Away,Ant senses seed and quickly rolls it away.,Mustard Seed
2024/09/05 16:16 (GMT+1),49,❌ - Sensed - Not Manipulated,Ant senses object but does not grasp.,Mustard Seed
2024/09/05 16:16 (GMT+1),50,❌ - No Contact With Object,Ant senses object but does not grasp. Barely any contact.,Mustard Seed
2024/09/05 16:16 (GMT+1),51,❌ - No Contact With Object,Ants walk through the scene but do not touch the object.,Mustard Seed
2024/09/05 16:16 (GMT+1),52,☑️ - Manipulated or Pinched - No Grasp,Ant senses the object and manipulates it but does not grasp or drag it away.,Mustard Seed
2024/09/05 16:16 (GMT+1),53,❌ - No Contact With Object,Ant walks through scene and does not interact with the object.,Mustard Seed
2024/09/05 16:16 (GMT+1),54,☑️ - Manipulated or Pinched - No Grasp,Ant senses the object and manipulates it but does not grasp or drag it away. Multiple ants walk through the scene and sense the environment.,Mustard Seed
2024/09/05 16:16 (GMT+1),55,❌ - Sensed - Not Manipulated,Ant briefly touches object. Does not carry it away.,Mustard Seed
2024/09/05 16:16 (GMT+1),56,✅✅ - Grasped and Carried Away,Ant briefly touches object. Another ant senses the seed then drags it away.,Mustard Seed
2024/09/25 15:57 (GMT+1),1,✅ - Grasped + Dropped,"Ant senses, crawls over then bites the shape. It attempts to manipulate it in different body positions. The ant drops the object then continues to search the surface, with the antennae and crawling over, before walking away.",Wedge - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),3,☑️ - Manipulated or Pinched - No Grasp,Ant enters the frame at approximately 30 seconds in. It senses the object using antennae and making small bites. It does not grasp or pick up the object and walks off.,Wedge - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),6,❌ - Sensed - Not Manipulated,Ant moves into frame at approximately 11 seconds. It senses the object. There is a slight disturbance to one of the cameras and the video shakes. The ant walks off without attempting to pinch or grasp the object.,Wedge - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),7,❌ - Sensed - Not Manipulated,"Multiple ants sense the object. Neither ant pinches the object, but both sense using legs and antennae. The level of focus in camera 0 is poor.",I-Beam - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),8,❌ - No Contact With Object,"A single ant enters the scene, senses the ground but leaves without contacting the object.",I-Beam - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),9,❌ - Sensed - Not Manipulated,"A single ant senses the object briefly, climbing onto it. It is unclear whether it attempts to pinch the object with mandibles, but it does not grasp.",Wedge - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),11,☑️ - Manipulated or Pinched - No Grasp,"Ant senses the ground and then climbs onto and over the object, attempting to pinch it with the mandibles. The object moves from either the weight of the ant or attempted manipulation. The ant stops sensing and cleans the antenna before walking off.",Wedge - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),12,✅✅ - Grasped and Carried Away,"Multiple ants walk through the scene. One crawls on top of the object, sensing and possibly tasting the object using its mouthparts before walking off. Another ant climbs over the object and makes some attempts to pinch the object and even lift while the ant is on top of the object. The ant eventually drags the shape out of the scene.",Wedge - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),13,☑️ - Manipulated or Pinched - No Grasp,"The object is initially pushed by the experimenter using tweezers. An ant then walks in to the frame, and quickly attempts to pinch the shape. The ant climbs over the object making repeated pinching actions on the object. Another ant begins to sense and pinch the object using the mandibles while the first ant walks off. A third ant also climbs over the object.  No ant grasps the object.",I-Beam - PLA - Dry Cat Food
2024/09/25 15:57 (GMT+1),14,✅ - Grasped + Dropped,"The object is initially pushed by the experimenter using tweezers. Ant first enters the scene at approximately 36 seconds. It senses and climbs on the object while making contact with the mandibles, it makes a number of pinching motions while holding the object using the mid-legs. It tries to grasp and manipulate the object while stood on top, then stops to find another grasp location. The ant cleans its antennae then leaves the scene.",I-Beam - PLA - Dry Cat Food
